Sample number,Protein,concentration (mg/ml),Spinning device,Extrusion device,Number of baths,Temperature SB,Spinning Buffer,SB pH,SB conc. (mM),NaCl (mM),Capillery type,Capillery size (um),Reeling speed (rpm),Flow rate (ul/min),pumppressure (bar),Temp C (spinning),Humidity (spinning),Continous spinning,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,Diameter (µm),Strain (mm/mm),Strength (MPa),Youngs Modulus (GPa),Toughness Modulus (MJ m-3)
10,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,19.52,0.1409103541368905,63.29597513473468,2.1,7.6528073067827584
10,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,14.52,1.2396094839609484,96.42921758458556,3.9,116.64664289540684
10,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,17.34,0.2510080545290626,75.80480689009357,2.4,17.83037609264032
10,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,18.21,0.2695319123470212,61.65079430103884,2.3,17.206555983612848
10,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,18.21,2.321564469459749,80.8087809050719,2.8,150.73792907115805
10,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,19.05,0.9242704173868131,57.65342614293866,2.4,53.39587757635067
10,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,17.89,0.0697773930003681,68.97623059501228,2.4,3.890671861970647
10,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,14.55,1.8641389427668436,117.77501122735023,3.6,169.07772757096137
10,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,16.48,0.101383952504815,77.04112247583099,2.9,6.650149236193079
10% Dextran spin 100rpm,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,66.0,100.0,17.0,,22.0,0.32,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,16.8,0.620658636,48.992783,1.91,27.5772789
10% Dextran spin 50rpm,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,66.0,50.0,17.0,,22.0,0.32,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,15.00375,0.70647564,58.4521684,2.32,39.17408137
11,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,10.94,1.3685862324204292,76.8764402082328,2.5,78.68576822643519
11,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,10.82,1.3496270942522923,79.29301867496741,2.3,78.00364129536086
11,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,11.54,1.2149945836390956,88.69956826799309,1.8,80.54324265321928
11,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,12.81,0.9314790087578054,72.10478024803935,2.4,60.64442688470087
11,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,11.72,1.4132500995116648,77.2056923004746,1.9,78.75791037514
11,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,12.72,1.0961722346539438,40.20399853685577,1.6,37.745339420056354
11,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,10.23,1.3915169028580476,108.43770598088796,3.4,123.20895078817662
11,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,12.4,1.595842819549984,85.33512105069406,2.4,98.66053097341856
11,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,12.69,1.728623250993263,79.3552481503599,2.0,97.79639574974988
11,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,50.0,17.0,,21.5,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,11.43,1.681111548543829,103.80148275687988,2.4,123.93190361801784
12,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,100.0,17.0,,21.7,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,8.17,1.121333411242258,140.9605270333,3.5,113.5040331739258
12,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,100.0,17.0,,21.7,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,10.8,1.0248205025927402,82.87376908816026,2.0,63.84336146409039
12,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,100.0,17.0,,21.7,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,10.62,0.9682268200431984,79.68601668359642,2.0,58.824596780190696
12,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,100.0,17.0,,21.7,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,9.07,1.0768517086748104,109.41608510468004,2.9,88.26241606440156
12,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,100.0,17.0,,21.7,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,9.18,1.209494201825808,106.79496795118692,1.8,97.14975537859176
12,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,100.0,17.0,,21.7,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,10.84,0.6464663521231686,59.35863267112408,2.0,34.40160895878868
12,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,100.0,17.0,,21.7,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,8.15,0.7061557826298106,137.13531250095045,2.9,75.71054046066102
12,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,100.0,17.0,,21.7,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,10.0,1.4739016855885654,155.5402160243922,3.7,165.40698910511753
12,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,100.0,17.0,,21.7,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,10.91,1.1881808493842756,78.71993589131547,2.0,69.14551143105732
12,NT2RepCT,290.0,Hulk,Syringe pump,1,22.0,Acetate (Na),5.0,750.0,0.0,Glass,60.0,100.0,17.0,,21.7,0.1,yes,7.013496530592531,-3.7908297222317135,-4.10207740295945,-2.9692970607531426,-2.3351053258102947,1.6745684623279276,-1.3803651319707078,-1.2632435037397154,0.7365816290172447,-0.964466907726116,-0.4026804890928635,1.484928692562378,-0.3379898897090373,-0.7947068295784809,-1.821606246659648,9.02,1.1539919238820926,109.53530802511558,2.9,96.73929675444562
13,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.2,0.1,no,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,16.21,0.0282522343594836,62.39813371987151,2.9,1.0094339717324572
13,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.2,0.1,no,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,20.05,0.0446677503571252,46.7096741027047,1.8,1.3527903198403788
13,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.2,0.1,no,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,13.56,0.044436589987531,104.5543457152421,3.4,2.7724409117900253
13,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.2,0.1,no,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,16.19,0.257057831564329,57.00736548071696,2.4,14.253408701292267
13,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.2,0.1,no,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,19.04,0.109310185896451,48.0645806783417,1.2,4.368244595576003
13,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.2,0.1,no,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,17.79,0.035566949552098,52.82121596937415,1.9,1.0605291801877963
13,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.2,0.1,no,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,17.14,0.0951891303696752,62.659090614774456,2.3,4.78940645149588
13,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.2,0.1,no,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,16.24,0.0838495750933206,25.056263340215093,3.0,2.6773762473715697
13,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.2,0.1,no,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,16.42,0.0890793046990656,66.83954615491722,2.0,3.855320424670445
13,Rep7 Tusp (57%) & NT2repCT (43%),350.0,Hulk,Syringe pump,1,22.0,Succinate (K),5.0,500.0,0.0,Glass,100.0,100.0,17.0,,21.2,0.1,no,7.861153471941495,-2.556631376277174,-8.809709991117494,3.260810671092422,7.390819403236488,-1.77319282251317,-3.162658445142304,4.124680069372272,-6.955770485955471,-0.4371571636264812,1.6732182086989793,1.4105357359059163,1.571985659083349,-1.905077446575232,-0.8765579860553746,13.81,0.0470194187154377,157.56601486430557,4.2,4.481770744813395
14,Rep2,292.0,Hulk,Syringe pump,1,22.0,Acetate (K),5.0,500.0,0.0,Glass,100.0,50.0,17.0,,21.7,0.1,yes,-10.294549220962397,2.398256605534386,-0.7720577861545872,-7.699515211657173,-4.769029754043395,2.5298140651018723,7.901531130789919,3.876928115274176,4.176247822657276,-11.084178360607895,8.788190449498295,6.628117363181361,-3.735174844108613,2.2225814069177376,1.961253840664852,12.72,0.23631,76.65749047401228,3.1,17.033650035714036
